trade_num,direction,type,entry_datetime,exit_datetime,entry_price,exit_price,pnl_pts,equity_pts
24,SHORT,SL,2026-02-20 15:30:00,2026-02-20 15:35:00,66996.87,67130.93,-134.06,1343.80
25,LONG,SL,2026-02-20 15:50:00,2026-02-20 16:25:00,67347.26,67710.14,362.88,1706.68
26,SHORT,SL,2026-02-20 17:20:00,2026-02-20 17:40:00,67021.94,67156.00,-134.06,1572.62
27,LONG,SL,2026-02-20 17:50:00,2026-02-20 18:35:00,67596.86,67776.14,179.28,1751.91
28,SHORT,SL,2026-02-22 17:35:00,2026-02-22 18:15:00,67247.63,67382.22,-134.59,1617.32
29,LONG,SL,2026-02-22 21:35:00,2026-02-22 23:10:00,67549.29,67566.11,16.82,1634.13
30,SHORT,SL,2026-02-23 00:35:00,2026-02-23 01:35:00,67220.34,65211.05,2009.29,3643.42
31,LONG,SL,2026-02-25 16:05:00,2026-02-25 17:15:00,67553.77,68392.09,838.32,4481.74
32,SHORT,SL,2026-02-26 15:15:00,2026-02-26 15:30:00,67081.52,67013.62,67.90,4549.64
33,LONG,SL,2026-02-26 15:40:00,2026-02-26 16:05:00,67426.72,67292.33,-134.39,4415.26
34,SHORT,SL,2026-02-26 16:10:00,2026-02-26 16:20:00,67111.45,67245.70,-134.25,4281.01
35,LONG,SL,2026-02-26 16:25:00,2026-02-26 16:30:00,67514.53,67379.61,-134.92,4146.09
36,SHORT,SL,2026-02-26 16:30:00,2026-02-26 17:00:00,67191.10,66729.80,461.30,4607.38
37,LONG,SL,2026-02-26 19:05:00,2026-02-26 19:25:00,67574.71,67608.04,33.33,4640.72
38,SHORT,SL,2026-02-26 21:05:00,2026-02-26 21:25:00,67259.93,67394.58,-134.65,4506.07
39,LONG,SL,2026-02-26 22:45:00,2026-02-26 23:00:00,67600.71,67465.79,-134.92,4371.15
40,SHORT,SL,2026-02-27 00:20:00,2026-02-27 00:50:00,67233.81,67202.93,30.88,4402.03
41,LONG,SL,2026-02-27 03:55:00,2026-02-27 04:25:00,67641.26,67975.61,334.35,4736.38
42,SHORT,SL,2026-02-27 10:10:00,2026-02-27 12:05:00,66991.50,66175.40,816.10,5552.48
43,LONG,SL,2026-02-28 22:35:00,2026-02-28 22:40:00,67565.65,67430.76,-134.89,5417.60
44,SHORT,SL,2026-02-28 22:50:00,2026-02-28 23:50:00,67253.45,67036.40,217.05,5634.65
45,LONG,SL,2026-03-01 02:00:00,2026-03-01 02:05:00,68143.16,68007.20,-135.96,5498.68
46,SHORT,SL,2026-03-01 02:15:00,2026-03-01 02:40:00,67815.49,67855.61,-40.12,5458.57
47,LONG,SL,2026-03-01 02:45:00,2026-03-01 02:50:00,68120.07,67983.83,-136.24,5322.33
