trade_num,direction,type,entry_datetime,exit_datetime,entry_price,exit_price,pnl_pts,equity_pts
1,LONG,SL,2026-03-13 00:22:00,2026-03-13 00:40:00,88.72,90.38,1.66,1.66
2,SHORT,SL,2026-03-14 09:48:00,2026-03-14 11:54:00,86.93,86.98,-0.05,1.61
3,LONG,SL,2026-03-15 09:06:00,2026-03-15 11:10:00,88.72,88.43,-0.29,1.32
4,SHORT,SL,2026-03-22 00:04:00,2026-03-22 00:10:00,86.80,87.15,-0.35,0.97
5,LONG,SL,2026-03-22 03:30:00,2026-03-22 05:24:00,88.72,88.67,-0.05,0.92
6,SHORT,SL,2026-03-22 12:00:00,2026-03-22 12:28:00,86.94,87.28,-0.34,0.59
7,LONG,SL,2026-03-23 11:06:00,2026-03-23 11:22:00,88.79,90.70,1.91,2.49
8,SHORT,SL,2026-03-26 17:52:00,2026-03-26 20:12:00,86.93,85.86,1.07,3.56
