datetime,open,high,low,close,volume
2026-02-12 00:00:00,67025.55,67140.59,67025.55,67090.29,0
2026-02-12 00:05:00,67055.07,67222.79,67055.07,67222.79,205893632
2026-02-12 00:10:00,67285.43,67308.61,67285.43,67290.99,323600384
2026-02-12 00:15:00,67319.77,67348.79,67317.11,67348.79,737718272
2026-02-12 00:20:00,67337.02,67337.02,67288.01,67288.01,228184064
2026-02-12 00:25:00,67328.82,67433.16,67328.82,67348.75,0
2026-02-12 00:30:00,67362.75,67431.32,67362.75,67431.32,0
2026-02-12 00:35:00,67420.43,67621.88,67420.43,67551.08,0
2026-02-12 00:40:00,67480.30,67519.29,67480.30,67519.29,109928448
2026-02-12 00:45:00,67527.38,67604.88,67495.43,67495.43,106340352
2026-02-12 00:50:00,67480.31,67480.31,67466.16,67479.16,0
2026-02-12 00:55:00,67474.10,67494.35,67474.10,67478.34,1173843968
2026-02-12 01:00:00,67451.22,67547.84,67451.22,67547.84,0
2026-02-12 01:05:00,67508.83,67508.83,67466.77,67490.47,0
2026-02-12 01:10:00,67479.55,67631.20,67479.55,67631.20,0
2026-02-12 01:15:00,67637.87,67672.66,67636.23,67671.82,702255104
2026-02-12 01:20:00,67612.45,67612.45,67528.43,67589.76,0
2026-02-12 01:25:00,67571.92,67803.33,67571.92,67791.00,226590720
2026-02-12 01:30:00,67771.48,67817.73,67771.48,67773.33,0
2026-02-12 01:35:00,67761.10,67986.84,67725.84,67968.74,162177024
2026-02-12 01:40:00,67890.40,67925.29,67877.33,67879.30,94785536
2026-02-12 01:45:00,67826.07,67826.07,67660.97,67660.97,0
2026-02-12 01:50:00,67638.47,67639.38,67574.14,67602.37,11218944
2026-02-12 01:55:00,67588.45,67643.03,67588.45,67642.19,394657792
2026-02-12 02:00:00,67654.13,67654.13,67548.02,67548.02,0
2026-02-12 02:05:00,67530.06,67665.55,67530.06,67648.27,202612736
2026-02-12 02:10:00,67677.72,67677.72,67530.60,67530.60,0
2026-02-12 02:15:00,67453.86,67467.77,67438.80,67443.09,0
2026-02-12 02:20:00,67432.70,67503.56,67432.70,67498.45,0
2026-02-12 02:25:00,67508.00,67508.00,67384.14,67384.14,738263040
2026-02-12 02:30:00,67414.95,67637.88,67414.95,67637.88,523902976
2026-02-12 02:35:00,67684.61,67684.61,67637.22,67642.63,0
2026-02-12 02:40:00,67622.79,67693.36,67622.79,67653.15,18104320
2026-02-12 02:45:00,67688.19,67688.19,67627.04,67654.29,837136384
2026-02-12 02:50:00,67701.04,67701.04,67559.75,67559.75,0
2026-02-12 02:55:00,67539.77,67539.77,67400.52,67400.52,0
2026-02-12 03:00:00,67388.87,67451.72,67373.01,67451.72,264630272
2026-02-12 03:05:00,67483.10,67483.10,67436.84,67436.84,0
2026-02-12 03:10:00,67442.99,67489.86,67442.62,67442.62,0
2026-02-12 03:15:00,67436.01,67472.60,67385.83,67385.83,136044544
2026-02-12 03:20:00,67350.05,67388.83,67329.41,67329.41,0
2026-02-12 03:25:00,67343.06,67343.06,67296.36,67312.66,5677056
2026-02-12 03:30:00,67337.83,67358.82,67311.15,67358.82,0
2026-02-12 03:35:00,67403.01,67403.01,67361.02,67361.02,0
2026-02-12 03:40:00,67419.80,67486.51,67419.80,67486.51,21934080
2026-02-12 03:45:00,67426.12,67492.09,67426.12,67492.09,157904896
2026-02-12 03:50:00,67454.37,67469.20,67415.40,67469.20,262098944
2026-02-12 03:55:00,67468.80,67529.81,67468.80,67529.81,45158400
2026-02-12 04:00:00,67544.40,67556.99,67484.20,67556.99,0
2026-02-12 04:05:00,67500.38,67502.79,67479.91,67502.79,179216384
2026-02-12 04:10:00,67545.46,67584.70,67545.46,67565.76,0
2026-02-12 04:15:00,67532.19,67532.19,67260.76,67260.76,129290240
2026-02-12 04:20:00,67316.92,67358.13,67256.99,67256.99,0
2026-02-12 04:25:00,67242.41,67242.41,67169.95,67169.95,0
2026-02-12 04:30:00,67166.99,67176.77,67047.34,67047.34,0
2026-02-12 04:35:00,67151.27,67233.23,67151.27,67224.66,0
2026-02-12 04:40:00,67226.20,67229.89,67176.56,67176.56,218808320
2026-02-12 04:45:00,67170.05,67213.12,67168.83,67213.12,0
2026-02-12 04:50:00,67164.64,67202.03,67058.89,67058.89,105021440
2026-02-12 04:55:00,67040.60,67062.47,66993.44,66993.44,87715840
2026-02-12 05:00:00,66984.55,67097.02,66954.40,67097.02,0
2026-02-12 05:05:00,67111.52,67118.95,67020.02,67020.02,23801856
2026-02-12 05:10:00,67021.76,67021.76,66749.54,66749.54,64319488
2026-02-12 05:15:00,66757.97,66793.45,66673.86,66673.86,21237760
2026-02-12 05:20:00,66652.45,66813.61,66652.45,66795.09,0
2026-02-12 05:25:00,66813.02,66900.45,66796.34,66796.34,0
2026-02-12 05:30:00,66827.30,67046.96,66821.15,67046.96,43626496
2026-02-12 05:35:00,67033.75,67033.75,66917.99,66917.99,17911808
2026-02-12 05:40:00,66989.07,67063.73,66989.07,67063.73,0
2026-02-12 05:45:00,67040.32,67068.95,67008.21,67010.32,362115072
2026-02-12 05:50:00,66989.91,67018.00,66972.91,67018.00,0
2026-02-12 05:55:00,67021.72,67087.77,67021.72,67069.20,0
2026-02-12 06:00:00,67080.75,67105.73,67068.27,67105.73,0
2026-02-12 06:05:00,66999.99,67009.91,66987.70,67002.80,0
2026-02-12 06:10:00,67021.05,67158.74,67021.05,67151.09,0
2026-02-12 06:15:00,67138.50,67143.89,67104.41,67117.96,0
2026-02-12 06:20:00,67083.40,67148.05,67060.94,67148.05,0
2026-02-12 06:25:00,67147.27,67273.94,67147.27,67255.07,0
2026-02-12 06:30:00,67247.95,67263.02,67202.26,67204.07,202756096
2026-02-12 06:35:00,67187.64,67187.64,67138.07,67161.02,0
2026-02-12 06:40:00,67198.39,67233.92,67170.60,67170.60,147746816
2026-02-12 06:45:00,67201.28,67229.23,67143.18,67204.52,0
2026-02-12 06:50:00,67163.87,67163.87,67082.20,67092.56,0
2026-02-12 06:55:00,67087.23,67087.23,67047.51,67047.51,0
2026-02-12 07:00:00,67047.47,67087.96,66979.55,66988.87,0
2026-02-12 07:05:00,67032.70,67032.70,66948.68,66956.43,0
2026-02-12 07:10:00,66957.67,66957.67,66895.58,66928.05,38846464
2026-02-12 07:15:00,66940.94,67011.07,66908.47,66992.84,0
2026-02-12 07:20:00,67009.52,67109.45,67009.52,67109.45,88760320
2026-02-12 07:25:00,67144.85,67269.62,67144.85,67186.67,0
2026-02-12 07:30:00,67184.95,67195.91,67140.53,67195.91,63823872
2026-02-12 07:35:00,67167.85,67168.00,67110.38,67118.60,119390208
2026-02-12 07:40:00,67146.26,67159.55,67105.20,67105.20,120328192
2026-02-12 07:45:00,67097.18,67113.10,67054.02,67080.41,0
2026-02-12 07:50:00,67070.02,67129.52,67070.02,67128.90,48660480
2026-02-12 07:55:00,67109.93,67183.56,67101.70,67183.56,0
2026-02-12 08:00:00,67181.33,67233.11,67181.33,67211.43,139177984
2026-02-12 08:05:00,67186.92,67249.96,67094.02,67249.96,0
2026-02-12 08:10:00,67258.80,67258.80,67179.32,67189.19,0
2026-02-12 08:15:00,67190.92,67190.92,67050.41,67050.41,96268288
2026-02-12 08:20:00,67040.25,67058.09,66989.20,66989.20,348151808
2026-02-12 08:25:00,67013.65,67013.65,66885.03,66885.03,124928000
2026-02-12 08:30:00,66886.13,66939.18,66886.13,66939.18,0
2026-02-12 08:35:00,66961.77,66965.59,66939.02,66939.02,0
2026-02-12 08:40:00,66932.30,67005.48,66932.30,66986.19,0
2026-02-12 08:45:00,66966.21,66970.74,66954.59,66970.74,0
2026-02-12 08:50:00,66952.54,67016.00,66952.54,67016.00,4284416
2026-02-12 08:55:00,67046.51,67093.59,67046.51,67089.24,0
2026-02-12 09:00:00,67074.57,67074.57,67025.16,67025.16,290058240
2026-02-12 09:05:00,67061.53,67067.29,67020.95,67020.95,0
2026-02-12 09:10:00,67020.91,67156.84,67020.91,67098.94,37105664
2026-02-12 09:15:00,67130.38,67202.42,67130.38,67187.95,0
2026-02-12 09:20:00,67169.79,67225.69,67169.79,67225.69,0
2026-02-12 09:25:00,67235.95,67274.18,67203.56,67254.69,150831104
2026-02-12 09:30:00,67229.41,67363.80,67224.12,67363.80,180092928
2026-02-12 09:35:00,67409.52,67414.05,67352.35,67352.35,43569152
2026-02-12 09:40:00,67332.45,67391.10,67330.69,67391.10,0
2026-02-12 09:45:00,67376.86,67400.21,67345.66,67362.09,0
2026-02-12 09:50:00,67330.48,67425.92,67321.74,67425.92,95502336
2026-02-12 09:55:00,67478.13,67621.74,67478.13,67534.08,0
2026-02-12 10:00:00,67511.43,67517.96,67488.78,67517.96,0
2026-02-12 10:05:00,67505.27,67580.64,67505.27,67518.86,252067840
2026-02-12 10:10:00,67501.15,67501.15,67464.48,67464.48,0
2026-02-12 10:15:00,67451.27,67473.87,67441.23,67473.87,0
2026-02-12 10:20:00,67461.91,67470.33,67415.20,67415.20,0
2026-02-12 10:25:00,67380.61,67539.77,67380.61,67535.18,0
2026-02-12 10:30:00,67556.23,67723.88,67556.23,67723.88,205066240
2026-02-12 10:35:00,67686.31,67734.87,67686.31,67727.73,66969600
2026-02-12 10:40:00,67706.44,67706.44,67620.67,67620.67,0
2026-02-12 10:45:00,67624.91,67745.95,67624.91,67745.95,0
2026-02-12 10:50:00,67808.23,67853.27,67766.01,67853.27,0
2026-02-12 10:55:00,67823.12,67904.09,67823.12,67904.09,162623488
2026-02-12 11:00:00,67966.73,68051.75,67919.70,68051.75,143392768
2026-02-12 11:05:00,68025.72,68053.15,67909.16,67909.16,106946560
2026-02-12 11:10:00,67747.27,67828.63,67747.27,67828.63,0
2026-02-12 11:15:00,67861.85,67934.67,67817.77,67934.67,497606656
2026-02-12 11:20:00,67901.94,68017.87,67901.94,68017.87,0
2026-02-12 11:25:00,68054.03,68150.59,67999.63,68150.59,238800896
2026-02-12 11:30:00,68204.96,68204.96,68135.27,68144.80,219930624
2026-02-12 11:35:00,68132.97,68132.97,68067.05,68067.05,0
