datetime,open,high,low,close,volume
2026-02-13 00:00:00,1946.17,1950.35,1946.06,1950.35,0
2026-02-13 00:05:00,1949.08,1951.04,1947.79,1947.79,0
2026-02-13 00:10:00,1948.28,1948.28,1946.20,1946.20,0
2026-02-13 00:15:00,1946.56,1946.56,1941.33,1941.33,37761024
2026-02-13 00:20:00,1939.39,1939.39,1935.37,1935.61,44269568
2026-02-13 00:25:00,1935.89,1935.89,1933.01,1934.28,0
2026-02-13 00:30:00,1933.45,1934.82,1930.49,1930.49,201070592
2026-02-13 00:35:00,1931.54,1934.44,1931.54,1934.15,5091328
2026-02-13 00:40:00,1936.53,1936.53,1934.35,1934.35,0
2026-02-13 00:45:00,1931.90,1932.71,1929.71,1929.71,0
2026-02-13 00:50:00,1930.15,1930.45,1929.63,1929.63,17825792
2026-02-13 00:55:00,1933.58,1933.58,1933.14,1933.14,0
2026-02-13 01:00:00,1932.91,1935.44,1932.91,1935.44,0
2026-02-13 01:05:00,1935.76,1941.95,1935.76,1941.95,221030400
2026-02-13 01:10:00,1940.94,1942.01,1940.94,1942.01,0
2026-02-13 01:15:00,1943.07,1943.07,1940.53,1940.53,0
2026-02-13 01:20:00,1940.84,1941.30,1937.80,1937.80,137953280
2026-02-13 01:25:00,1937.64,1937.85,1936.46,1937.85,0
2026-02-13 01:30:00,1941.49,1941.49,1940.52,1940.52,26376192
2026-02-13 01:35:00,1941.89,1946.05,1940.54,1946.05,0
2026-02-13 01:40:00,1945.94,1946.85,1945.94,1946.70,0
2026-02-13 01:45:00,1945.32,1947.35,1945.32,1945.77,141297664
2026-02-13 01:50:00,1945.43,1945.80,1944.71,1944.71,0
2026-02-13 01:55:00,1941.87,1941.87,1939.56,1940.17,0
2026-02-13 02:00:00,1941.50,1943.20,1941.50,1942.78,0
2026-02-13 02:05:00,1941.93,1946.05,1941.93,1945.31,39297024
2026-02-13 02:10:00,1946.41,1947.00,1946.41,1947.00,0
2026-02-13 02:15:00,1945.89,1946.64,1945.47,1945.83,0
2026-02-13 02:20:00,1944.86,1944.86,1941.83,1943.67,144494592
2026-02-13 02:25:00,1943.69,1946.62,1943.69,1946.42,25083904
2026-02-13 02:30:00,1945.13,1945.13,1944.42,1945.10,0
2026-02-13 02:35:00,1945.31,1945.34,1942.46,1942.46,0
2026-02-13 02:40:00,1942.31,1944.68,1940.95,1944.68,7688192
2026-02-13 02:45:00,1944.15,1945.24,1944.05,1944.05,0
2026-02-13 02:50:00,1944.08,1948.80,1944.08,1948.36,20527104
2026-02-13 02:55:00,1947.90,1949.40,1947.25,1948.67,33492992
2026-02-13 03:00:00,1948.28,1948.64,1947.94,1947.94,390983680
2026-02-13 03:05:00,1948.08,1948.08,1944.20,1944.20,0
2026-02-13 03:10:00,1944.61,1945.29,1944.61,1945.29,49473536
2026-02-13 03:15:00,1945.33,1946.92,1944.02,1946.92,18348032
2026-02-13 03:20:00,1946.74,1946.74,1945.01,1945.01,0
2026-02-13 03:25:00,1945.37,1948.98,1945.37,1948.03,188536832
2026-02-13 03:30:00,1952.84,1954.75,1952.84,1954.55,0
2026-02-13 03:35:00,1954.33,1954.33,1950.83,1951.19,9535488
2026-02-13 03:40:00,1952.99,1954.78,1952.99,1954.25,209358848
2026-02-13 03:45:00,1952.50,1952.50,1951.67,1951.67,16539648
2026-02-13 03:50:00,1951.14,1951.14,1949.78,1949.78,0
2026-02-13 03:55:00,1950.76,1950.76,1950.06,1950.69,18159616
2026-02-13 04:00:00,1952.43,1952.97,1952.32,1952.97,0
2026-02-13 04:05:00,1951.11,1951.11,1948.95,1950.36,10874880
2026-02-13 04:10:00,1949.47,1949.47,1948.35,1949.03,0
2026-02-13 04:15:00,1949.65,1952.37,1949.65,1951.60,0
2026-02-13 04:20:00,1952.89,1952.89,1947.33,1948.89,193449984
2026-02-13 04:25:00,1951.75,1953.04,1951.64,1953.04,0
2026-02-13 04:30:00,1952.07,1952.07,1948.18,1948.18,0
2026-02-13 04:35:00,1949.22,1950.50,1949.22,1950.50,36753408
2026-02-13 04:40:00,1948.97,1948.97,1948.23,1948.23,174446592
2026-02-13 04:45:00,1946.44,1946.66,1945.89,1946.66,0
2026-02-13 04:50:00,1946.59,1947.75,1946.59,1947.37,41586688
2026-02-13 04:55:00,1948.33,1949.35,1945.77,1945.77,0
2026-02-13 05:00:00,1942.87,1944.41,1942.87,1944.41,0
2026-02-13 05:05:00,1944.13,1944.13,1937.32,1937.98,0
2026-02-13 05:10:00,1938.40,1938.66,1937.59,1937.59,234190848
