Trade #,Signal,Date,Price,Date,Price,Profit
1,Long,2026-03-13T00:22:00Z,88.72,2026-03-13T00:40:00Z,90.38,1.66
2,Short,2026-03-14T09:48:00Z,86.93,2026-03-14T11:54:00Z,86.98,-0.05
3,Long,2026-03-15T09:06:00Z,88.72,2026-03-15T11:10:00Z,88.43,-0.29
4,Short,2026-03-22T00:04:00Z,86.80,2026-03-22T00:10:00Z,87.15,-0.35
5,Long,2026-03-22T03:30:00Z,88.72,2026-03-22T05:24:00Z,88.67,-0.05
6,Short,2026-03-22T12:00:00Z,86.94,2026-03-22T12:28:00Z,87.28,-0.34
7,Long,2026-03-23T11:06:00Z,88.79,2026-03-23T11:22:00Z,90.70,1.91
8,Short,2026-03-26T17:52:00Z,86.93,2026-03-26T20:12:00Z,85.86,1.07
